poiID,poiCat,poiLon,poiLat
0,City precincts,144.96778,-37.821670000000005
1,City precincts,144.946,-37.817
2,City precincts,144.97299999999998,-37.8119
3,City precincts,144.96694,-37.79972
4,City precincts,144.96333,-37.80778
5,City precincts,144.957,-37.829
6,City precincts,144.98333,-37.81667
7,City precincts,144.9614,-37.7963
8,Shopping,144.96444,-37.81583
9,Shopping,144.96452,-37.8139
10,Shopping,144.99032780000002,-37.8175639
11,Shopping,144.978472,-37.79833
12,Shopping,144.99528,-37.84083
13,Shopping,144.9655,-37.816583
14,Shopping,144.9622,-37.8168
15,Shopping,144.96583,-37.8175
16,Shopping,144.961,-37.8096
17,Shopping,144.96556,-37.81694
18,Shopping,144.9641,-37.8151
19,Shopping,144.96,-37.81056
20,Shopping,144.993503,-37.847414
21,Shopping,144.956693,-37.806966
22,Shopping,144.9652,-37.81
23,Shopping,144.9641,-37.8145
24,Shopping,144.963,-37.8064
25,Entertainment,144.960099,-37.822324
26,Entertainment,144.976369,-37.868036
27,Entertainment,144.95801699999998,-37.821044
28,Entertainment,144.952095,-37.784762
29,Public galleries,144.96701399999998,-37.826497
30,Public galleries,144.964111,-37.7975
31,Public galleries,144.968634,-37.822595
32,Institutions,144.963028,-37.81384
33,Institutions,144.976939,-37.827939
34,Institutions,144.9755,-37.8297
35,Institutions,144.966777,-37.815145
36,Institutions,144.96528,-37.80806
37,Institutions,144.966,-37.8087
38,Institutions,144.956794,-37.812153
39,Institutions,144.974121,-37.813153
40,Institutions,144.97329,-37.811055
41,Institutions,144.964787,-37.809801
42,Institutions,144.957932,-37.814132
43,Institutions,144.970447,-37.827391
44,Structures,144.96833,-37.82028
45,Structures,144.96444,-37.821670000000005
46,Structures,144.9541,-37.8256
47,Structures,144.9368763,-37.8110723
48,Structures,144.971225,-37.804728
49,Structures,144.97325800000002,-37.830434
50,Structures,144.967384,-37.816853
51,Structures,144.97611,-37.81
52,Sports stadiums,144.98389,-37.82528
53,Sports stadiums,144.9475,-37.816390000000006
54,Sports stadiums,144.9125,-37.79028
55,Sports stadiums,144.97741000000002,-37.821112
56,Sports stadiums,144.98167,-37.82278
57,Sports stadiums,144.98333,-37.82
58,Sports stadiums,144.96833,-37.84972
59,Sports stadiums,144.96611,-37.84667
60,Sports stadiums,144.965,-37.84028
61,Sports stadiums,144.93556740000002,-37.8123777
62,Sports stadiums,144.98111,-37.82472
63,Sports stadiums,144.97833,-37.821670000000005
64,Sports stadiums,145.03,-37.97
65,Sports stadiums,144.96167,-37.78389
66,Parks and spaces,144.97,-37.846
67,Parks and spaces,144.971938,-37.82037
68,Parks and spaces,144.9725,-37.81833
69,Parks and spaces,144.97028,-37.80611
70,Parks and spaces,144.967,-37.816
71,Parks and spaces,144.96871399999998,-37.817798
72,Parks and spaces,144.9803925,-37.8125641
73,Parks and spaces,144.9544,-37.8105
74,Parks and spaces,144.9775815,-37.8282598
75,Parks and spaces,144.9716,-37.8218
76,Parks and spaces,144.98033,-37.8334
77,Parks and spaces,144.9511667,-37.7901833
78,Parks and spaces,144.976194,-37.814158
79,Parks and spaces,144.9852312,-37.8180437
80,Transport,144.932125,-37.8194778
81,Transport,144.968516,-37.819744
82,Transport,144.96681,-37.818078
83,Transport,144.84333,-37.67333
84,Transport,144.96278,-37.81
85,Transport,144.9524,-37.8184
86,Transport,144.89806000000002,-37.829440000000005
87,Transport,144.90833,-37.85194
